author,time,content
Ẩn danh,2025-10-02 17:26:57,Đình Dương Xuân hồi mà bán 1 phút Thích Trả lời Chia sẻ
Việt Hoàng,2025-10-02 16:27:57,"Việt Hoà·   CHỨNG KHOÁN CÓ MỖI CÁI TRÒ MUA THẤP BÁN CAO THÔI MÀ KHÓ VÃI LOL.  Việt Hoàng tôi lần này sẽ tự thủ đến cùng, quyết không cắt lỗ để chờ ngày vinh quanh."
Ẩn danh,,"CHỨNG KHOÁN CÓ MỖI CÁI TRÒ MUA THẤP BÁN CAO THÔI MÀ KHÓ VÃI LOL.  Việt Hoàng tôi lần này sẽ tự thủ đến cùng, quyết không cắt lỗ để chờ ngày vinh quanh."
Ẩn danh,,Xem thêm bình luận
Ẩn danh,2025-10-02 16:28:00,Nguyễn Hưng Việt hoàng nói sao cứ làm ngược lại 1 giờ Thích Trả lời Chia sẻ 4 Xem 1 phản hồi
Ẩn danh,2025-10-02 16:28:01,Cỏ Trong Mưa đang biên dưới kiên nhẫn chờ là đúng rồi bác 1 giờ Thích Trả lời Chia sẻ Xem tất cả 10 phản hồi
Ẩn danh,,Xem tất cả 10 phản hồi
Ẩn danh,2025-10-02 16:53:02,"Sau này các con lớn lên, Bố sẽ chia sẻ cho các con về quá trình Bố tích sản FPT từ 130 về 90. Tích sản ở doanh nghiệp A.I hàng đầu Việt Nam là niềm tự hào lớn nhất của chặng đường Bố đầu tư.  Thân ái!!
Sau này các con lớn lên, Bố sẽ chia sẻ cho các con về quá trình Bố tích sản FPT từ 130 về 90. Tích sản ở doanh nghiệp A.I hàng đầu Việt Nam là niềm tự hào lớn nhất của chặng đường Bố đầu tư.  Thân ái!!
Sau này các con lớn lên, Bố sẽ chia sẻ cho các con về quá trình Bố tích sản FPT từ 130 về 90. Tích sản ở doanh nghiệp A.I hàng đầu Việt Nam là niềm tự hào lớn nhất của chặng đường Bố đầu tư.  Thân ái!!
Sau này các con lớn lên, Bố sẽ chia sẻ cho các con về quá trình Bố tích sản FPT từ 130 về 90. Tích sản ở doanh nghiệp A.I hàng đầu Việt Nam là niềm tự hào lớn nhất của chặng đường Bố đầu tư.  Thân ái!!
Sau này các con lớn lên, Bố sẽ chia sẻ cho các con về quá trình Bố tích sản FPT từ 130 về 90. Tích sản ở doanh nghiệp A.I hàng đầu Việt Nam là niềm tự hào lớn nhất của chặng đường Bố đầu tư.
Sau này các con lớn lên, Bố sẽ chia sẻ cho các con về quá trình Bố tích sản FPT từ 130 về 90.
Tích sản ở doanh nghiệp A.I hàng đầu Việt Nam là niềm tự hào lớn nhất của chặng đường Bố đầu tư.
Thân ái!!
Thân ái!!"
Ẩn danh,,Người tham gia ẩú m m   ·
Ẩn danh,2025-10-02 16:53:05,"Vũ Bảo Bảo Giờ mà cắt, nó hồi lên 130 thì nỗi đau x2. 35 phút Thích Trả lời Chia sẻ Đã chỉnh sửa"
Thước phim,2025-10-02 12:28:27,Bạn viết gì đi... Thước phim Thăm dò ý kiến Cảm xúc/hoạt động Đáng chú ý 6 mục mới Huy hiệu nội dung đáng chú ý VN News Quản trị viên   · ·  NÓNG: Cổ đông nhiều ngân hàng lớn sắp được nhận “tiền tươi” sau nhiều năm chờ đợi.
VN News,2025-10-02 12:28:28,VN News Quản trị viên   · ·  NÓNG: Cổ đông nhiều ngân hàng lớn sắp được nhận “tiền tươi” sau nhiều năm chờ đợi.
VN News,,VN News Quản trị viên   · ·
Quản trị viên,,Quản trị viên   · ·
Ẩn danh,,NÓNG: Cổ đông nhiều ngân hàng lớn sắp được nhận “tiền tươi” sau nhiều năm chờ đợi.
Ẩn danh,2025-10-02 12:28:31,Huỳnh Quang Hòa CTG có cơ hội vượt đỉnh không mn ? 5 giờ Thích Trả lời Chia sẻ 2 Xem tất cả 2 phản hồi
Ẩn danh,,Xem tất cả 2 phản hồi
Ẩn danh,2025-10-02 12:28:32,Ngô Thiệu Bảo Sáng ai đua xanh nhóm bank khai thật đi =))) 5 giờ Thích Trả lời Chia sẻ 2 Xem tất cả 2 phản hồi
Ẩn danh,2025-10-01 17:28:33,"Người tham gia ẩú ô 1 : 0  5 2 a h 1  7 a l c 1 g h a u   ·   Thay vì cảm thấy đau khổ và nhục nhã khi thua lỗ ở mã FPT, thì em lại nằm 1 chỗ hưởng thụ. Dù gì thì cũng là tiền rảnh rỗi của mình kiếm được, nếu 1 năm không lãi thì 10 năm sau sẽ lãi. Sao phải ăn thua từng tí với đời, giỏi thì FPT về 7x hộ cái hixhix.."
Ẩn danh,,Người tham gia ẩú ô 1 : 0  5 2 a h 1  7 a l c 1 g h a u   ·
Ẩn danh,,n d t o S r p e s o 2 i 2 7 q 3 ú ô 1 : 0  5 2 a h 1  7 a l c 1 g h a u   ·
Ẩn danh,,"Thay vì cảm thấy đau khổ và nhục nhã khi thua lỗ ở mã FPT, thì em lại nằm 1 chỗ hưởng thụ. Dù gì thì cũng là tiền rảnh rỗi của mình kiếm được, nếu 1 năm không lãi thì 10 năm sau sẽ lãi. Sao phải ăn thua từng tí với đời, giỏi thì FPT về 7x hộ cái hixhix.."
Ẩn danh,2025-10-01 17:28:35,Người tham gia ẩn danh 668 Sắp ước gì đc nấy rùi đó 1 ngày Thích Trả lời Chia sẻ 4 Xem tất cả 4 phản hồi
Ẩn danh,,Xem tất cả 4 phản hồi
Ẩn danh,2025-10-01 17:28:36,Người tham gia ẩn danh 925 Lời nói dối chân thành 1 ngày Thích Trả lời Chia sẻ 2 Xem tất cả 2 phản hồi
VN News,2025-10-01 17:28:37,VN News Quản trị viên   · S s p t n d r o o e 0 4 q 7 c c l 0 ú u 1  : 3 a 9 7 8 l 8 m  m ô ·   VN-Index chào tháng mới với phiên tăng điểm nhẹ. Tuy nhiên thanh khoản của toàn thị trường lại xuống thấp nhất trung bình của 3 tháng gần đây.
VN News,,VN News Quản trị viên   · S s p t n d r o o e 0 4 q 7 c c l 0 ú u 1  : 3 a 9 7 8 l 8 m  m ô ·
Quản trị viên,,Quản trị viên   · S s p t n d r o o e 0 4 q 7 c c l 0 ú u 1  : 3 a 9 7 8 l 8 m  m ô ·
Ẩn danh,,VN-Index chào tháng mới với phiên tăng điểm nhẹ. Tuy nhiên thanh khoản của toàn thị trường lại xuống thấp nhất trung bình của 3 tháng gần đây.
Ẩn danh,2025-10-01 17:28:40,Đỗ Công Sửu Mai Vic và Vhm cùng sàn thì sao các cụ ?? 1 ngày Thích Trả lời Chia sẻ Xem tất cả 2 phản hồi
Ẩn danh,2025-10-01 17:28:41,Đỗ Công Sửu Mai Vic và Vhm cùng sàn thì sao các cụ ?? 1 ngày Thích Trả lời Chia sẻ
Ẩn danh,2025-10-01 17:28:41,Ngô Vy Xoá app 1 tháng rồi tải lại 1 ngày Thích Trả lời Chia sẻ Xem 1 phản hồi
Ẩn danh,2025-10-01 17:28:42,Ngô Vy Xoá app 1 tháng rồi tải lại 1 ngày Thích Trả lời Chia sẻ
Ẩn danh,2025-10-01 19:28:42,"Người tham gia ẩú u 1  : 3 a 9 7 8 l 8 m  m ô ·  Dân Chứng Khoán nhiều người hay tham thua lỗ, đầu tư cả năm không bằng đi gửi tiến kiệm, bị lái úp bô, bị lùa gà... Vậy động lực nào để các bạn vẫn tiếp tục vui vẻ và lạc quan đầu tư Chứng Khoán vậy?"
Ẩn danh,,Người tham gia ẩú u 1  : 3 a 9 7 8 l 8 m  m ô ·
Ẩn danh,,S s p t n d r o o e 0 4 q 7 c c l 4 ú u 1  : 3 a 9 7 8 l 8 m  m ô ·
Ẩn danh,,"Dân Chứng Khoán nhiều người hay tham thua lỗ, đầu tư cả năm không bằng đi gửi tiến kiệm, bị lái úp bô, bị lùa gà... Vậy động lực nào để các bạn vẫn tiếp tục vui vẻ và lạc quan đầu tư Chứng Khoán vậy?"
Ẩn danh,2025-10-01 19:28:45,Lê Halen   · Theo dõi Để sống có cảm xúc hơn 22 giờ Thích Trả lời Chia sẻ Xem tất cả 5 phản hồi
Ẩn danh,,Xem tất cả 5 phản hồi
Ẩn danh,2025-10-01 20:28:46,Trần Cơ Tỉ Phú Warren Buffett vẫn đang giàu hơn phạm nhật vượng đó 21 giờ Thích Trả lời Chia sẻ 2
Thước phim,2025-09-29 17:29:09,"Bạn viết gì đi... Thước phim Thăm dò ý kiến Cảm xúc/hoạt động Đáng chú ý 6 mục mới Huy hiệu nội dung đáng chú ý VN News Quản trị viên   · p s o o S d r e n t 7 4 9 ú 6 h 1 5 t 8 c á : l 9 5 1 t 1 2 3 u   ·   Xanh vỏ, đỏ lòng! VN-Index kết phiên tăng gần 6đ, trong đó hệ sinh thái Vingroup đóng góp hơn 10đ. Còn tài khoản của chứng sĩ nhìn vào chỉ muốn tắt app.."
VN News,2025-09-29 17:29:10,"VN News Quản trị viên   · p s o o S d r e n t 7 4 9 ú 6 h 1 5 t 8 c á : l 9 5 1 t 1 2 3 u   ·   Xanh vỏ, đỏ lòng! VN-Index kết phiên tăng gần 6đ, trong đó hệ sinh thái Vingroup đóng góp hơn 10đ. Còn tài khoản của chứng sĩ nhìn vào chỉ muốn tắt app.."
VN News,,VN News Quản trị viên   · p s o o S d r e n t 7 4 9 ú 6 h 1 5 t 8 c á : l 9 5 1 t 1 2 3 u   ·
Quản trị viên,,Quản trị viên   · p s o o S d r e n t 7 4 9 ú 6 h 1 5 t 8 c á : l 9 5 1 t 1 2 3 u   ·
Ẩn danh,,"Xanh vỏ, đỏ lòng! VN-Index kết phiên tăng gần 6đ, trong đó hệ sinh thái Vingroup đóng góp hơn 10đ. Còn tài khoản của chứng sĩ nhìn vào chỉ muốn tắt app.."
Ẩn danh,2025-09-29 17:29:13,"Người tham gia ẩn danh 601 Lúc FPT hồi ở 107 tôi đã biết, đó là ""hồi quang phản chiếu"". May mà cắt lúc đó chứ ko giờ đã lõm mẹ 10k/cp. Ác đạn thật 3 ngày Thích Trả lời Chia sẻ 2 Xem tất cả 2 phản hồi"
Ẩn danh,2025-09-29 17:29:14,"Người tham gia ẩn danh 937 Ace cai cú Vic sao ace ko chịu theo Vic , phải chi theo là hốt bạc rồi 3 ngày Thích Trả lời Chia sẻ Xem 1 phản hồi"
VN News,2025-10-01 17:29:15,"VN News Quản trị viên   · p o S s e t n r o d t 2 : f 5  m a i a 1 ú 0 a 9 h t 1 g a 3 m g ô  ·  TIN VUI: Gần 6.000 tỷ đồng sắp ""chảy về túi"" cổ đôáng 10."
VN News,,VN News Quản trị viên   · p o S s e t n r o d t 2 : f 5  m a i a 1 ú 0 a 9 h t 1 g a 3 m g ô  ·
Quản trị viên,,Quản trị viên   · p o S s e t n r o d t 2 : f 5  m a i a 1 ú 0 a 9 h t 1 g a 3 m g ô  ·
Ẩn danh,,"TIN VUI: Gần 6.000 tỷ đồng sắp ""chảy về túi"" cổ đôáng 10."
Ẩn danh,2025-10-01 17:29:19,"Hồ Họa Khánh SSI dự đoán lợi nhuận giảm, ai bán được bán hết cho nhẹ tàu 1 ngày Thích Trả lời Chia sẻ Xem tất cả 2 phản hồi"
Ẩn danh,2025-10-01 17:29:20,"Đỗ Khánh Hằng Nhỏ lẻ làm gì còn hàng đâu...tổ chức ôm cả, giao dịch ảm đảm thế 1 ngày Thích Trả lời Chia sẻ Xem 1 phản hồi"
VN News,2025-10-01 17:29:21,"VN News Quản trị viên   · p o S s e t n r o d t 4 : f 5  m a i a 1 ú 0 a 9 h t 0 g a 3 m g ô  ·  NÓNG: Vụ thao túng giá cổ phiếu An Gia: 'Đội lái' sử dụng 92 tài khoản gồm cả tổ chức trong hơn 2 năm, bị xử phạt 4,5 tỷ đồng."
Ẩn danh,,"NÓNG: Vụ thao túng giá cổ phiếu An Gia: 'Đội lái' sử dụng 92 tài khoản gồm cả tổ chức trong hơn 2 năm, bị xử phạt 4,5 tỷ đồng."
Ẩn danh,2025-10-01 17:29:23,Nguyễn Hoàng Lăng Cổ không lái như gái không chồng :))) 1 ngày Thích Trả lời Chia sẻ Xem 1 phản hồi
Ẩn danh,2025-10-01 17:29:24,Ngô Thiệu Bảo Sao chỉ xử lý hành chính có tí thôi nhỉ? 1 ngày Thích Trả lời Chia sẻ 2 Xem 1 phản hồi
