author,time,content
Ẩn danh,2025-10-02 17:19:18,"Mèo đi Trade   · Theo dõi ms kiu khách bán PC1 hqua xong:) VDS mình cx thấy không ổn đâu bác, đang rơi tự do rồi, có thể hi vọng hỗ trợ MA50 nhưng mà nhìn chung ko khả quan nhé. 12 phút Thích Trả lời Chia sẻ Xem 1 phản hồi"
Khang Bùi,2025-10-02 17:05:19,"Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50"
Ẩn danh,2025-10-02 17:05:21,Thanh Nguyen 3 con này im ắng quá 26 phút Thích Trả lời Chia sẻ
Nam Hoàng,2025-09-26 17:31:22,"Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.
Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20"
Nam Hoàng,,Nam Hoà: ú á 1 f  6   ·
Ẩn danh,,t o r n S p d o e s 2 c u a 9 l  1 u : ú á 1 f  6   ·
Ẩn danh,,Xem thêm câu trả lời
Ẩn danh,2025-09-26 17:31:24,Phạm Tuấn F88 6 ngày Thích Trả lời Chia sẻ Xem 1 phản hồi
Ẩn danh,2025-09-26 17:31:25,"Người tham gia ẩn danh 499 Cii, pdr, dig 6 ngày Thích Trả lời Chia sẻ Xem tất cả 4 phản hồi"
Ẩn danh,,Xem tất cả 4 phản hồi
Ẩn danh,,"Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn
Chứng khoán _ Hồi nhẹ chớ vội mừng
Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua
SSI :
Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.
Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.
Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn.
MBS :
Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên.
Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.
Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn .
VCI :
Xu hướng đi ngang tái tích lũy chưa có gì thay đổi.
Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận
SHS :
Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.
Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn
VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
VIX:
Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng.
Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em"
Hiếu Đỗ Trung,2025-10-02 09:31:52,"Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn  VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
Chứng khoán _ Hồi nhẹ chớ vội mừng  Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua  SSI :  Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.  Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.  Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn. MBS : Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên. Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.  Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn . VCI : Xu hướng đi ngang tái tích lũy chưa có gì thay đổi. Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận  SHS : Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.  Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn
Chứng khoán _ Hồi nhẹ chớ vội mừng
Cùng nhìn lại vận động của 1 số cổ phiếu chứng khoán những phiên vừa qua
SSI :
Cổ phiếu vừa mới bắt đầu điều chỉnh và còn chưa bung thanh khoản.
Đã hình thành kênh giá giảm ma20 hướng xuống và lượng hàng kẹt trên 40 rất nhiều. Khó mà kéo lại trong ngắn hạn.
Ae còn hàng nên bán chờ cơ hội điểm mua rõ ràng hơn.
MBS :
Cổ phiếu đã có những phiên bật lại mạnh mẽ sau đà rơi 20% từ đỉnh. Tuy nhiên với lượng thanh khoản này chưa đủ để hấp thụ lượng hàng kẹt phía trên.
Điểm hỗ trợ gần nhất quanh 32 và kháng cự mạnh vùng giá 36.
Hạn chế tham gia ở vùng giá này ,chờ cổ phiếu tái tích lũy bẻ ngang ma20 và lấy lại xu hướng tăng tham gia sẽ an toàn hơn .
VCI :
Xu hướng đi ngang tái tích lũy chưa có gì thay đổi.
Hỗ trợ gẫn nhất quanh 41. Giảm hoặc tăng cần có phiên xác nhận
SHS :
Cổ phiếu tái tích lũy, đi ngang với thanh khoản ôn hoà chưa có dấu hiệu điều chỉnh.
Tích cực nếu vượt ma20 đạt thanh khoản vượt lên vùng giá 27.  Bán khi quay đầu giảm dưới 25 thanh khoản lớn
VIX: Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng. Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn
VIX:
Cổ phiếu vừa có 1 phiên khối lượng vào nhưng tăng không như kì vọng.
Vùng thanh khoản lớn quanh 36-37 cần vượt dứt khoát, tiêu cực khi đóng nến dưới 36 theo dõi thanh khoản vận động, nếu bán vol lớn lên thoát hàng trong ngắn hạn"
